PM2_5,PM10,SO2,NO2,CO,O3,lat,lng,U,V
33.49,37.89,9.89,5.69,0.31,56.67,19,109.27,-3.5,2.44
34.41,39.34,10.26,6.28,0.31,56.87,19,109.41,-3.85,1.83
35.98,41.4,10.55,6.97,0.31,56.47,18.99,109.55,-5.13,2.38
37.8,43.75,10.88,7.95,0.31,55.6,18.99,109.69,-5.32,2.95
38.53,45.04,11.75,9.32,0.32,56.19,18.98,109.83,-4.68,2.33
39.55,46.8,11.89,10.93,0.33,53.24,18.98,109.97,-4.56,1.43
39.01,46.78,12.26,12.56,0.33,51.82,18.97,110.11,-4.65,0.72
39.57,47.83,13.18,15.09,0.34,50.5,18.96,110.25,-4.83,0.39
37.48,45.75,13.21,15.21,0.35,50.33,18.96,110.39,-5.4,0.1
23.28,26.73,11.26,5.96,0.31,62.4,19.16,108.72,0.06,-1.52
23.91,27.15,11.36,5.78,0.31,63.26,19.15,108.86,-0.08,-1.06
26.27,29.76,11.22,5.82,0.31,62.24,19.15,109,-1.92,0.82
30.51,34.6,10.87,6.03,0.31,59.42,19.14,109.14,-3.68,2.08
32.68,37.01,11.2,6.43,0.31,59.9,19.14,109.28,-3.82,2.67
34.49,39.97,11.35,7.2,0.31,58.9,19.13,109.42,-4.24,2.23
36.1,42.28,11.5,8.16,0.31,57.92,19.13,109.56,-5.39,2.49
38.72,45.64,11.51,9.54,0.32,55.77,19.12,109.7,-5.95,3.16
40.68,48.42,12,11.41,0.33,54.58,19.11,109.84,-5.46,2.74
41.05,49.53,12.61,13.4,0.33,53.6,19.11,109.98,-4.99,2.11
40.51,49.6,12.92,15.13,0.34,52.1,19.1,110.12,-4.51,1.33
39.47,48.83,13.57,17.53,0.35,51.55,19.1,110.26,-4.26,0.72
37.4,46.83,13.12,17.7,0.35,50.09,19.09,110.4,-4.49,0.45
29.46,36.97,12.51,12.98,0.33,57.81,19.08,110.54,-5.2,0.12
23.92,27.69,11.18,6.01,0.31,64.06,19.29,108.72,-0.71,-1.94
25.37,29.1,11.55,6.54,0.32,61.67,19.28,108.86,-0.59,-1.62
27.39,31.03,11.91,6.87,0.32,62.34,19.28,109,-1.66,-0.35
31.05,35.43,11.81,7.24,0.32,60.61,19.27,109.14,-3.38,1.19
33.73,39.13,11.75,7.84,0.32,58.93,19.27,109.28,-4.24,2.13
35.65,42.02,11.96,8.84,0.32,58.14,19.26,109.43,-4.66,2.31
37.25,44.43,12.22,10.06,0.32,57.68,19.26,109.57,-5.07,2.49
38.65,46.68,12.58,11.87,0.33,57.21,19.25,109.71,-4.95,2.69
40.53,49.73,13.05,14.18,0.33,55.74,19.25,109.85,-4.7,2.4
41.4,51.72,13.61,16.44,0.34,53.95,19.24,109.99,-4.81,2.06
41.79,53.01,13.7,18.18,0.34,52.11,19.23,110.13,-4.9,1.68
40.85,52.52,13.57,19.76,0.35,51.24,19.23,110.27,-4.72,0.98
36.57,47.98,13.25,19.65,0.34,51.75,19.22,110.41,-4.75,0.53
30.72,40.45,12.38,15.14,0.33,55.76,19.21,110.55,-5.44,0.25
26.65,30.77,11.53,7.06,0.32,61.83,19.42,108.87,-2.18,-1.9
29.7,33.89,12.08,8.23,0.33,60.2,19.41,109.01,-2.58,-0.82
32.92,38.2,12.09,9.05,0.33,58.41,19.41,109.15,-3.51,0.51
35.46,41.69,12.13,9.84,0.33,57.42,19.4,109.29,-4.54,1.96
38.28,45.62,12.42,11.36,0.33,56.3,19.4,109.43,-5.39,2.32
40.12,48.64,12.5,13.02,0.34,54.59,19.39,109.57,-5.47,2.55
40.49,50.18,13.07,15.09,0.34,55.25,19.38,109.71,-5.01,2.19
41.89,53.16,13.28,17.19,0.34,54.02,19.38,109.85,-4.88,2.16
42.84,55.71,14.11,19.71,0.35,52.33,19.37,109.99,-5.08,2
43.69,57.86,13.95,21.21,0.35,49.9,19.37,110.13,-5.14,1.99
41.64,56,13.23,21.39,0.35,50.55,19.36,110.27,-4.88,1.57
36.96,50.67,12.97,20.61,0.34,52.1,19.35,110.41,-4.85,1.06
31.59,43.16,12.82,17.01,0.33,55.76,19.35,110.55,-5.44,0.56
29.84,34.8,11.04,7.41,0.32,60.89,19.54,109.01,-3.94,-1.19
33.82,39.69,11.64,9.34,0.33,57.82,19.54,109.16,-4.04,-0.08
36.59,43.42,12.41,11.49,0.34,56.24,19.53,109.3,-4.52,1.77
39.57,47.81,12.8,13.86,0.34,54.56,19.53,109.44,-5.36,2.58
41.54,51.4,13.16,16.25,0.35,52.83,19.52,109.58,-5.4,2.88
41.32,52.81,13.4,18.08,0.34,53.55,19.52,109.72,-4.82,2.27
41.71,55.24,13.72,19.99,0.34,53.16,19.51,109.86,-4.6,2.25
43.45,59.15,14.81,23.01,0.35,51.02,19.51,110,-4.68,2.04
43.79,60.88,14.8,23.96,0.35,49.97,19.5,110.14,-4.79,2
42.33,59.72,12.81,22.73,0.35,49.3,19.49,110.28,-4.88,1.85
38.27,54.81,12.73,21.74,0.34,51.29,19.49,110.42,-4.88,1.47
34.01,48.59,12.73,19.32,0.33,53.34,19.48,110.56,-4.94,1.01
30.45,41.99,13.48,16.38,0.32,57.06,19.47,110.7,-5.42,0.59
35.96,43.2,11.53,11.92,0.34,55.12,19.67,109.3,-5.49,1.64
38.38,47.28,12.13,14.77,0.34,54.11,19.66,109.44,-5.98,2.4
40.23,51.09,12.88,17.54,0.34,53.04,19.66,109.58,-5.9,2.37
40.34,53.41,12.85,18.99,0.34,53.17,19.65,109.72,-5.69,2.21
40.86,56.33,13.4,21.14,0.34,52.66,19.64,109.87,-5.51,2.19
43.01,60.91,14.77,24.58,0.35,50.51,19.64,110.01,-5.4,2.07
43.92,63.35,14.69,25.28,0.35,49.53,19.63,110.15,-5.34,1.99
42.18,61.74,12.76,23.4,0.35,50.04,19.62,110.29,-5.4,1.79
39.42,58.35,12.29,22.2,0.34,50.34,19.62,110.43,-5.51,1.56
35.86,53.44,12.3,20.77,0.33,51.78,19.61,110.57,-5.31,1.35
33.47,48.96,13.38,20.32,0.33,53.62,19.6,110.71,-5.28,0.97
31.04,44.67,13.19,17.69,0.32,56.03,19.6,110.85,-5.8,0.65
29.45,35.66,11.05,8.84,0.32,63.31,19.8,109.31,-5.43,0.78
32.36,40.63,11.64,12.21,0.33,60.57,19.79,109.45,-5.49,1.64
35.07,45.77,12.47,15.76,0.33,58.23,19.79,109.59,-5.73,2.16
36.44,50,12.45,17.94,0.33,56.41,19.78,109.73,-6.22,2.53
37.08,52.95,13.18,20.39,0.33,55.68,19.78,109.87,-6.18,2.48
39.49,57.73,14.4,24.14,0.34,53.48,19.77,110.01,-6.02,2.3
41.6,61.69,14.58,25.42,0.34,52.1,19.76,110.15,-5.96,2.02
41.38,62.04,13.17,23.97,0.34,52.22,19.76,110.29,-5.86,1.73
38.67,58.63,12.41,22.41,0.33,52.31,19.75,110.44,-5.73,1.56
35.4,53.91,12.08,20.29,0.33,53.06,19.74,110.58,-5.34,1.41
34.01,51.22,12.88,20.47,0.33,53.68,19.74,110.72,-5.3,1.12
32.12,47.54,13.03,18.78,0.32,55.25,19.73,110.86,-5.81,0.8
28.29,40.05,13.15,14.55,0.31,62.73,19.72,111,-6.05,0.18
29.57,38.71,11.72,11.84,0.32,62.54,19.92,109.6,-6.03,1.41
31,42.49,12.21,14.42,0.32,60.98,19.92,109.74,-5.53,1.6
31.88,45.17,13.15,17.33,0.32,60.31,19.91,109.88,-4.85,1.54
34.53,50.78,14.13,21.78,0.33,57.46,19.9,110.02,-4.78,1.7
37.58,56.63,14.73,24.73,0.33,55.27,19.9,110.16,-4.87,1.72
38.7,59.4,14.11,24.31,0.34,55.41,19.89,110.3,-4.82,1.47
36.87,56.63,13.03,22.41,0.33,55.8,19.88,110.44,-4.81,1.31
34.61,52.97,12.15,19.67,0.32,56.23,19.88,110.58,-5.28,1.24
34.49,52.05,12.25,19.34,0.32,53.54,19.87,110.73,-5.92,1.29
32.06,46.74,12.9,18.43,0.32,55.11,19.86,110.87,-6.12,0.8
33.68,51.19,14.01,21.71,0.33,56.93,20.03,110.17,-6.1,0.83
35.35,55.6,14.53,24.35,0.33,56.13,20.02,110.31,-6.1,0.74
33.93,52.67,13.27,21.77,0.32,57.49,20.02,110.45,-6.15,0.71
31.99,46.73,12.53,17.42,0.32,55.89,20,110.73,-6.16,1.09
35.47,47.97,12.36,17.5,0.35,51.88,20.3,110.04,-7.15,1.57
33.57,49.27,12.42,19.37,0.33,54.79,20.3,110.18,-7.19,1.11
31.72,47.66,12.88,19.32,0.32,57.33,20.29,110.32,-7.11,0.84
37.27,50.56,12.46,18.36,0.36,51.92,20.43,110.05,-7.02,2.01
33.83,48.93,11.68,17.66,0.33,56.03,20.43,110.19,-6.99,1.78
31.07,45.81,11.42,16.32,0.32,58.33,20.42,110.33,-6.62,1.49
28.73,41.27,11.89,14.31,0.31,60.39,20.41,110.47,-6.48,1.17
41.32,51.57,13.22,17.79,0.39,48.44,20.57,109.91,-6.49,2.13
39.57,52.15,13.19,18.97,0.37,51.53,20.57,110.05,-6.82,2.05
34.01,46.98,12.48,16.24,0.34,57.82,20.56,110.2,-6.7,2.01
29.56,41.99,12.02,13.89,0.32,61.82,20.55,110.34,-6.41,1.86
26.74,36.88,12.31,11.69,0.31,63.39,20.55,110.48,-6.42,1.58
43.15,51.41,13.26,15.98,0.41,47.65,20.71,109.78,-6.03,1.93
44.13,54.49,13.84,19.23,0.4,47.15,20.71,109.92,-6.5,1.83
41.87,53.39,14.21,20.06,0.38,50.32,20.7,110.06,-6.78,1.99
34.03,44.47,13.65,15.77,0.34,58.46,20.69,110.2,-6.91,2.05
44.59,52.6,13.41,15.88,0.42,47.4,20.85,109.78,-6.21,1.94
46.3,55.83,14.45,19.33,0.42,46.12,20.84,109.92,-6.4,1.9
43.57,53.48,15.55,20.43,0.4,48.7,20.83,110.07,-6.45,2.04
34.47,42.66,15.43,15.79,0.36,57.13,20.83,110.21,-6.49,2.12
45.23,52.65,13.3,14.92,0.42,47.48,20.98,109.79,-6.38,2.33
47.45,56.04,14.7,18.52,0.43,45.36,20.97,109.93,-6.45,2.23
45.59,54.36,16.58,20.59,0.42,46.56,20.97,110.07,-6.67,2.15
45.27,52.13,12.97,13.81,0.43,48.46,21.11,109.79,-6.33,2.75
48.01,55.77,14.35,17.31,0.45,44.84,21.11,109.94,-6.41,2.61
47.95,56.05,16.83,20.73,0.44,42.79,21.1,110.08,-6.48,2.51
45.25,53.31,21.12,23.7,0.43,42.58,21.09,110.22,-6.66,2.35
22.89,24.64,9.37,1.2,0.27,60.33,21.29,101.34,0.79,2.15
22.3,24.03,9.25,1.1,0.27,60.24,21.29,101.49,0.95,2.09
23.37,25.16,9.46,1.16,0.27,58.14,21.3,101.63,2.15,2.52
44.3,50.63,12.78,12.07,0.42,51.87,21.25,109.8,-5.89,2.76
48.34,55.42,13.79,15.6,0.45,45.96,21.24,109.94,-5.98,2.68
49.99,57.64,15.92,19.77,0.46,41.98,21.23,110.09,-6.16,2.84
49.41,57.5,21.22,25.2,0.46,38.56,21.23,110.23,-6.2,2.68
47.54,55.34,21.71,24.75,0.44,39.89,21.22,110.37,-6.28,2.42
42.04,48.54,17.18,16.83,0.4,48.6,21.21,110.52,-6.64,2.06
23.51,25.36,9.76,1.44,0.28,58.47,21.42,101.2,0.68,1.31
23.02,24.93,10.02,1.65,0.28,59.07,21.42,101.34,0.3,1.86
22.92,24.8,10.07,1.57,0.28,59.02,21.43,101.48,0.95,1.96
23.75,25.62,10.1,1.49,0.28,58.21,21.43,101.63,2.08,2.16
49.05,55.73,13.2,14.06,0.47,46.12,21.37,109.95,-5.59,2.79
50.4,57.34,14.65,17.64,0.47,42.6,21.37,110.09,-5.77,3.01
50.48,57.84,19.55,23.1,0.47,38.76,21.36,110.24,-5.89,2.83
50.75,58.27,21.28,25.09,0.46,38,21.35,110.38,-5.98,2.6
48.68,55.71,18.36,20.49,0.45,42.79,21.35,110.52,-6.16,2.38
42.93,49.31,17.88,17.07,0.41,47.12,21.34,110.67,-6.53,2.29
24.49,26.5,10.1,1.53,0.28,61.42,21.52,100.33,0.53,0.11
26.93,29.08,10.77,2.02,0.29,58.56,21.52,100.47,1.73,0.38
27.75,30.03,11.34,2.25,0.3,56.87,21.53,100.62,1.98,0.58
22.07,23.87,9.54,1.43,0.28,59.01,21.56,101.33,-0.8,1.55
22.6,24.4,9.61,1.3,0.28,58.89,21.56,101.48,0.5,1.77
23,24.81,9.59,1.13,0.27,58.79,21.56,101.62,1.37,1.45
45.96,52.76,17.68,10.07,0.47,50.54,21.59,107.52,-3.55,4.02
50.92,61.32,18.9,15.74,0.55,44.88,21.58,107.95,-2.65,2.82
50.74,61.55,19.06,16.96,0.56,45.93,21.57,108.09,-2.95,3.07
55.66,64.82,15.21,12.42,0.56,45.94,21.54,109.24,-5.32,3.5
51.91,59.99,14.42,11.92,0.52,49.38,21.53,109.38,-5.22,3.24
49.9,57.29,14.38,12.54,0.5,50.38,21.52,109.53,-5.27,3.01
52.81,60.4,14.15,13.11,0.52,45.89,21.52,109.67,-5.36,2.84
52.17,59.34,13.24,12.68,0.52,45.94,21.51,109.81,-5.44,2.92
50.79,57.54,12.87,13.34,0.5,45.3,21.51,109.96,-5.53,2.98
49.22,55.66,13.07,14.87,0.46,44.32,21.5,110.1,-5.59,3.05
48.98,55.56,15.76,17.87,0.46,42.26,21.49,110.24,-5.74,2.92
50.02,56.8,17.6,20.18,0.46,41.14,21.49,110.39,-5.84,2.89
51.37,58.33,17.84,20.65,0.47,41.18,21.48,110.53,-5.84,2.81
47.53,54.3,19.64,20.65,0.45,40.95,21.47,110.67,-5.99,2.69
41.93,48.12,19.87,18.8,0.41,42.4,21.47,110.82,-6.34,2.4
37.18,42.59,17.3,14.19,0.38,48.21,21.46,110.96,-6.86,2.05
34.48,40.01,16.66,12.47,0.38,52.45,21.44,111.25,-6.96,1.17
25.16,27.16,10.21,1.59,0.28,60.49,21.65,100.18,0.31,0.31
25.52,27.59,10.12,1.67,0.28,60.51,21.65,100.32,1.1,1.24
28.87,31.18,11.26,2.28,0.3,58.12,21.66,100.47,2.75,1.64
31.54,34.23,12.8,3.19,0.32,53.78,21.66,100.61,3.07,1.62
28.19,30.36,10.01,1.93,0.3,51.17,21.67,100.75,2.06,1.69
23.62,25.41,9.44,1.5,0.28,57.92,21.68,101.19,-0.34,1.59
23.15,24.95,9.5,1.55,0.28,58.25,21.69,101.33,-0.17,1.97
23.92,25.76,9.61,1.45,0.28,57.27,21.69,101.47,1.25,2.21
23.9,25.75,9.6,1.18,0.28,57.47,21.7,101.62,1.7,1.59
23.76,25.56,9.11,0.85,0.27,56.79,21.7,101.76,2.35,2.38
46.47,53.58,16.57,9.12,0.47,49.65,21.73,107.23,-2.99,7.34
48.54,56.21,16.83,10.71,0.51,48.55,21.72,107.38,-3.05,6.85
49.64,57.35,18.24,12.48,0.54,49.36,21.72,107.52,-2.96,5.78
54.93,65.03,18.87,15.36,0.59,44.19,21.72,107.66,-3.23,5.46
54.74,65.49,19.64,17.59,0.62,43.76,21.71,107.81,-3.12,4.37
55.74,68.12,19.18,19.25,0.65,42.89,21.71,107.95,-2.54,3.58
56.46,70.01,19.27,20.83,0.68,41.37,21.71,108.09,-2.45,3.34
58.44,73.27,21.73,23.25,0.7,40.11,21.7,108.24,-2.85,3.63
54.82,67.93,20.36,19.69,0.62,43.81,21.7,108.38,-3.45,4.07
48.81,59.39,17.71,15.22,0.54,50.19,21.69,108.53,-4.34,4.23
56.39,68.55,14.93,13.32,0.62,43.42,21.68,108.81,-5.07,4.21
59.27,72.03,15.63,14.2,0.65,42.16,21.68,108.96,-4.92,4.09
60.77,72.98,16.51,14.37,0.65,42.43,21.67,109.1,-4.82,3.91
58.97,69.87,15.16,13.17,0.62,44.54,21.67,109.25,-4.93,3.7
55.16,64.48,14.86,12.35,0.57,48.64,21.66,109.39,-5.22,3.58
55.94,64.49,14.9,13.41,0.56,45.83,21.65,109.68,-5.27,3.13
54.6,62.43,14.02,12.74,0.56,45.77,21.65,109.82,-5.28,3.04
51.84,58.85,13.14,12.69,0.53,45.43,21.64,109.96,-5.28,3.07
48.05,54.14,12.41,12.88,0.46,45.35,21.63,110.11,-5.31,3.14
46.87,52.72,12.99,13.67,0.45,44.91,21.63,110.25,-5.45,3.13
47.8,53.73,14.08,15.24,0.45,44.09,21.62,110.39,-5.52,3.18
50.6,56.97,16.65,18.86,0.47,41.52,21.61,110.54,-5.52,3.07
48.01,54.97,21.38,22.55,0.47,38.14,21.61,110.68,-5.7,2.9
43.18,50.16,22.47,22.41,0.44,37.49,21.6,110.83,-5.98,2.67
39.98,46.46,18.42,17.77,0.43,40.71,21.59,110.97,-6.25,2.46
38.78,44.79,15.43,14.23,0.42,43.16,21.58,111.11,-6.46,2.2
37.52,43.96,15.36,14.18,0.43,42.75,21.58,111.26,-6.27,1.55
37.74,45.16,16.3,15.72,0.45,41.26,21.57,111.4,-5.99,0.93
38.23,46.97,18.03,18.48,0.48,40.25,21.56,111.54,-6.2,0.93
26.71,28.65,10.52,1.55,0.28,59.13,21.77,100.03,1.81,-1.04
26.25,28.28,10.31,1.71,0.28,59.97,21.78,100.17,1.19,0.33
25.66,27.72,10.1,1.69,0.28,61.38,21.79,100.32,0.87,1.31
29.02,31.36,11.28,2.25,0.3,59.01,21.79,100.46,2.57,1.85
32.21,34.94,12.95,3.26,0.33,54.26,21.8,100.6,3.56,1.97
30.17,32.69,12.02,2.94,0.32,54.38,21.8,100.75,1.85,1.74
26.46,28.69,10.9,2.3,0.3,57.38,21.81,100.89,0.37,0.94
24.62,26.58,9.92,1.79,0.29,56.69,21.81,101.04,-0.04,1.47
23.7,25.53,9.45,1.61,0.28,56.09,21.82,101.18,-0.24,1.9
23.68,25.49,9.36,1.6,0.28,56.21,21.82,101.32,0.34,2.46
24.27,26.08,9.38,1.39,0.28,56.36,21.83,101.47,1.55,2.53
24.67,26.46,9.23,1.06,0.27,56.34,21.83,101.61,2.48,2.27
23.96,25.74,9.08,0.84,0.27,57.63,21.84,101.76,2.29,2.45
50.93,58.76,17.55,10.46,0.51,47.5,21.86,107.09,-1.32,7.77
52.45,61.03,17.48,11.89,0.55,46.51,21.86,107.23,-1.92,7.9
53.96,63.35,17.85,13.56,0.58,45.65,21.86,107.38,-2.53,7.6
55.91,66.34,19.05,15.91,0.62,45.17,21.85,107.52,-2.96,6.78
57.84,69.44,19.53,18.69,0.66,43.17,21.85,107.67,-3.17,6.92
57.89,69.84,20.41,21.07,0.7,42.92,21.85,107.81,-3.09,6.06
59.2,73.22,19.56,22.47,0.72,40.54,21.84,107.96,-2.99,5.52
58.26,73.15,19.58,23.27,0.73,41.36,21.84,108.1,-2.58,4.24
61.18,78.46,21.27,25.53,0.78,39.51,21.84,108.24,-2.25,4.01
58.57,75.02,19.63,22.11,0.73,42.26,21.83,108.39,-2.98,4.34
59.35,75.1,16.51,18.06,0.71,41.32,21.82,108.68,-4.23,4.69
58.41,73.74,14.78,16.09,0.7,42.59,21.82,108.82,-4.18,4.44
60.79,76.12,14.98,16.1,0.72,41.07,21.81,108.96,-4.29,4.43
61.51,75.63,15.48,15.24,0.7,41.56,21.81,109.11,-4.4,4.15
61.48,74.1,15.3,14.04,0.67,42.72,21.8,109.25,-4.67,3.96
60.11,71.2,15.45,13.2,0.64,44.61,21.8,109.4,-5.03,4.05
58.48,68.32,15.62,13,0.61,46.23,21.79,109.54,-5.27,4.09
57.31,66.5,15.58,12.68,0.58,46.93,21.79,109.68,-5.33,3.64
56.6,65.06,15.05,12.6,0.58,46.06,21.78,109.83,-5.09,3.38
53.38,60.89,13.85,12.42,0.54,45.66,21.77,109.97,-4.86,3.23
48.41,54.62,12.65,11.92,0.46,46.52,21.77,110.11,-4.95,3.27
44.92,50.53,12.37,12.16,0.44,46.36,21.76,110.26,-5.1,3.31
44.57,50.01,12.7,12.95,0.44,46.65,21.75,110.4,-5.15,3.33
46.32,51.99,14.53,15.7,0.45,45.7,21.75,110.55,-5.22,3.2
45,52.47,19.37,20.19,0.47,41.62,21.74,110.69,-5.47,3.14
41.16,48.95,21.01,20.76,0.44,39.97,21.73,110.83,-5.69,3.04
37.1,44.35,17.21,16.63,0.42,42.72,21.73,110.98,-5.82,2.66
35.18,42.13,14.53,13.6,0.41,44.88,21.72,111.12,-6.27,2.22
35.68,43.38,14.71,14.06,0.43,43.07,21.71,111.26,-6.54,1.65
37.27,46.39,15.38,16.16,0.48,40.26,21.7,111.41,-5.7,0.78
37.83,48.86,16.55,19.73,0.54,37.32,21.69,111.55,-4.76,0.66
37.67,48.39,18.98,22.45,0.55,37.28,21.69,111.7,-4.98,1.28
44.12,59.48,33.15,41.06,0.6,34.47,21.63,112.56,-7.24,0.79
27.1,29.04,10.43,1.51,0.28,58.94,21.91,100.02,2.69,-0.57
27.18,29.25,10.4,1.9,0.29,58.96,21.91,100.17,3.04,0
26.84,28.97,10.38,2.03,0.29,61.01,21.92,100.31,1.98,0.59
29.02,31.4,11.31,2.41,0.31,59.21,21.93,100.45,2.51,1.14
32.41,35.08,12.57,3.1,0.33,53.91,21.93,100.6,3.67,1.4
31.19,33.98,13.3,3.94,0.33,54.56,21.94,100.74,1.54,1.17
26.43,28.76,11.41,2.75,0.3,57.39,21.94,100.89,-0.43,0.4
23.67,25.61,9.86,1.66,0.28,58.12,21.95,101.03,-0.34,0.9
23.33,25.14,9.4,1.43,0.28,56.51,21.95,101.18,-0.02,1.08
23.05,24.83,9.28,1.39,0.27,56.34,21.96,101.32,0.23,1.5
23.75,25.52,9.25,1.28,0.27,56.51,21.96,101.46,1.28,1.98
25.06,26.81,9.18,1.1,0.27,56.21,21.97,101.61,2.28,2.13
53.81,60.08,19.35,10.67,0.49,48.21,22,106.8,-0.72,6.84
55.97,64.22,19.61,12.23,0.55,46.68,22,106.95,-0.55,5.91
57.6,66.88,19.7,13.71,0.59,45.35,22,107.09,-0.64,6.79
57.53,67.52,19.17,14.95,0.62,44.69,21.99,107.24,-1.1,6.54
57.84,68.74,19.43,17.01,0.65,43.95,21.99,107.38,-1.95,6.53
59.08,71.1,20.24,19.77,0.68,42.96,21.99,107.53,-2.4,6.41
61.64,75.27,21.04,23.1,0.74,40.54,21.98,107.67,-2.62,6.89
61.95,76.89,21.43,25.27,0.77,39.98,21.98,107.81,-3.56,6.69
60.99,76.81,21.08,26.05,0.77,39.95,21.98,107.96,-4.19,7.12
60.82,77.72,20.15,26.51,0.78,39.09,21.97,108.1,-3.23,6.11
61.7,80.77,20.43,27.08,0.81,39.45,21.97,108.25,-2.19,5.15
60.18,79.67,18.37,24.29,0.79,39.72,21.97,108.39,-2.54,4.77
58.99,77.96,16.24,21.34,0.76,40.78,21.96,108.54,-3.41,5.09
60.34,79.44,15.92,20.66,0.78,40.81,21.96,108.68,-3.68,5.02
60.3,78.54,14.73,18.98,0.77,40.92,21.95,108.82,-3.85,4.79
61.13,78.13,14.96,17.87,0.75,40.74,21.95,108.97,-3.99,4.79
61.65,77.14,15.3,16.53,0.73,41.17,21.94,109.11,-4.19,4.51
61.93,75.76,15.64,15.11,0.7,42,21.94,109.26,-4.45,4.37
61.27,73.45,15.87,13.81,0.67,43.71,21.93,109.4,-4.46,4.39
60.09,70.83,16.15,12.91,0.64,45.84,21.93,109.55,-4.55,4.29
